"Title,Description,Priority,Estimate,Labels,Status,Project,Parent Issue,Blocked By,Due Date,Assignee"
"""Professional Formatting"",""Conditional formatting and print layouts"",medium,4,excel;generator;polish,todo,Excel Engine,📊 Excel Engine Core,Add Cross-Tab Formulas,,me"
"""🎯 MVP Launch"",""Core product functionality for launch"",urgent,,,todo,MVP Launch,,,,me"
"""Create deal input form"",""Next.js component for deal description input"",urgent,6,frontend;mvp,todo,MVP Launch,🎯 MVP Launch,,,me"
"""Add property type selector"",""Auto-detect or manual selection"",high,3,frontend;mvp,todo,MVP Launch,🎯 MVP Launch,Create deal input form,,me"
"""Connect parser to frontend"",""Wire up MockParser to form submission"",urgent,4,frontend;backend;mvp,todo,MVP Launch,🎯 MVP Launch,Add property type selector,,me"
"""Implement file download"",""Generate and download Excel file"",urgent,4,frontend;backend;mvp,todo,MVP Launch,🎯 MVP Launch,Add Cross-Tab Formulas,,me"
"""Add loading states"",""Progress indicators during generation"",medium,2,frontend;ux,todo,MVP Launch,🎯 MVP Launch,Implement file download,,me"
"""Create landing page"",""Marketing page with product demo"",high,8,frontend;marketing,todo,MVP Launch,🎯 MVP Launch,,,me"
"""Add user authentication"",""Supabase auth integration"",high,6,backend;auth,todo,MVP Launch,🎯 MVP Launch,,,me"
"""Implement usage limits"",""Free tier restrictions"",high,4,backend;business,todo,MVP Launch,🎯 MVP Launch,Add user authentication,,me"
"""Add analytics tracking"",""Usage and error tracking"",medium,3,backend;analytics,todo,MVP Launch,🎯 MVP Launch,,,me"
"""🤖 LLM Parser Integration"",""Connect LLM for deal text parsing"",high,,,backlog,LLM Integration,,,,me"
"""Connect to university cluster"",""Get access to professor's GPUs"",high,4,llm;infrastructure,backlog,LLM Integration,🤖 LLM Parser Integration,,,me"
"""Test Qwen Coder model"",""Evaluate for CRE parsing accuracy"",high,4,llm;testing,backlog,LLM Integration,🤖 LLM Parser Integration,Connect to university cluster,,me"
"""Test OpenCoder model"",""Compare parsing performance"",high,4,llm;testing,backlog,LLM Integration,🤖 LLM Parser Integration,Connect to university cluster,,me"
"""Test Llama 405B model"",""Test large model capabilities"",medium,4,llm;testing,backlog,LLM Integration,🤖 LLM Parser Integration,Connect to university cluster,,me"
"""Create CRE training dataset"",""100+ deal descriptions with outputs"",high,8,llm;data,backlog,LLM Integration,🤖 LLM Parser Integration,,,me"
"""Fine-tune selected model"",""Train on CRE-specific data"",medium,12,llm;training,backlog,LLM Integration,🤖 LLM Parser Integration,Create CRE training dataset,,me"
"""Build parser comparison tool"",""A/B test different models"",medium,6,llm;testing,backlog,LLM Integration,🤖 LLM Parser Integration,Test Llama 405B model,,me"
"""Implement parser fallbacks"",""Handle parsing failures gracefully"",high,4,llm;reliability,backlog,LLM Integration,🤖 LLM Parser Integration,Build parser comparison tool,,me"
"""🐛 Bug Fixes & Testing"",""Testing and bug fixes"",medium,,,backlog,Testing,,,,me"
"""Unit tests for generators"",""Test each Excel generator class"",high,8,testing;quality,backlog,Testing,🐛 Bug Fixes & Testing,,,me"
"""Integration tests"",""End-to-end testing"",high,6,testing;quality,backlog,Testing,🐛 Bug Fixes & Testing,Unit tests for generators,,me"
"""Performance testing"",""Ensure 5-second generation"",high,4,testing;performance,backlog,Testing,🐛 Bug Fixes & Testing,Integration tests,,me"
"""Formula validation"",""Verify Excel formulas accuracy"",urgent,6,testing;excel,backlog,Testing,🐛 Bug Fixes & Testing,,,me"
"""💰 Business Features"",""Revenue and growth features"",medium,,,backlog,Business,,,,me"
"""Implement Stripe checkout"",""Payment flow integration"",high,8,payments;business,backlog,Business,💰 Business Features,,,me"
"""Add subscription management"",""User subscription portal"",high,6,payments;business,backlog,Business,💰 Business Features,Implement Stripe checkout,,me"
"""Create pricing tiers"",""Free Pro Enterprise tiers"",high,4,business;product,backlog,Business,💰 Business Features,,,me"
"""Add referral system"",""User referral tracking"",low,6,business;growth,backlog,Business,💰 Business Features,,,me"
"""Build admin dashboard"",""Usage metrics and user management"",medium,8,business;admin,backlog,Business,💰 Business Features,,,me"
"""📈 Enhancements"",""Post-MVP enhancements"",low,,,backlog,Enhancements,,,,me"
"""Add more property types"",""Industrial retail mixed-use"",medium,12,excel;expansion,backlog,Enhancements,📈 Enhancements,,,me"
"""Create template library"",""Pre-built model templates"",medium,8,product;templates,backlog,Enhancements,📈 Enhancements,,,me"
"""Add scenario analysis"",""Multiple scenario comparison"",low,10,excel;advanced,backlog,Enhancements,📈 Enhancements,,,me"
"""Build API endpoints"",""External API access"",low,8,backend;api,backlog,Enhancements,📈 Enhancements,,,me"
"""Add collaboration features"",""Share and co-edit models"",low,16,product;collaboration,backlog,Enhancements,📈 Enhancements,,,me"
